Título,Autor,Ano de publicação,Número de páginas
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,223
Harry Potter e a Câmara Secreta,J.K. Rowling,1998,251
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,1999,317
Harry Potter e o Cálice de Fogo,J.K. Rowling,2000,462
Harry Potter e a Ordem da Fênix,J.K. Rowling,2003,766
Harry Potter e o Enigma do Príncipe,J.K. Rowling,2005,607
Harry Potter e as Relíquias da Morte,J.K. Rowling,2007,607
Dom Quixote,Miguel de Cervantes,1605,863
1984,George Orwell,1949,328
Crime e Castigo,Fiódor Dostoiévski,1866,551
